                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.0537,                 5.6523,                 4.1737,                      0,                      0,                      0,                      0,                 5.1367,                 5.2591,                 3.9005,                 0.0802,                 0.0022,                 0.0022
                      1,                 4.6187,                  4.965,                 3.9398,                      0,                      0,                      0,                      0,                 4.8903,                 4.9742,                 3.7714,               0.059491,              0.0044911,              0.0044911
                      2,                 4.1866,                 4.0753,                  3.658,                      0,                      0,                      0,                      0,                 4.8273,                 4.9017,                 3.7409,               0.038773,              0.0067731,              0.0067731
                      3,                 3.4945,                 3.8687,                 3.1282,                      0,                      0,                      0,                      0,                 4.7704,                 4.8559,                 3.7475,               0.018046,              0.0090459,              0.0090459
                      4,                 3.2365,                  3.411,                 2.8185,                0.00431,                0.14141,                0.00427,                0.00132,                 3.4856,                  5.257,                 3.0014,              0.0099208,              0.0099208,              0.0099208
                      5,                  2.926,                 3.1223,                 2.5174,                0.72991,                0.12323,                0.05065,                 0.0183,                 2.9548,                 13.253,                 2.7593,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.6132,                 2.7886,                 2.3077,                0.79569,                0.14545,                0.09316,                0.03093,                 2.8886,                 8.1769,                 2.5178,               0.009901,               0.009901,               0.009901
                      7,                 2.3931,                  2.476,                 2.1431,                0.51637,                0.14722,                0.10175,                0.03411,                 2.7479,                 4.1078,                 2.5178,              0.0098812,              0.0098812,              0.0098812
                      8,                 2.2106,                 2.2804,                 1.9644,                0.78837,                0.19053,                0.14571,                 0.0417,                 2.5385,                 6.5103,                  2.331,              0.0098614,              0.0098614,              0.0098614
                      9,                 2.0183,                  2.147,                 1.8287,                0.55995,                0.20164,                0.22867,                0.10422,                 2.0455,                 2.2632,                 1.9935,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.9491,                 1.9788,                  1.776,                0.78219,                 0.2303,                0.14938,                0.05119,                  2.025,                 3.2581,                 1.9124,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.7862,                 1.9549,                  1.663,                0.83707,                0.24646,                0.26916,                0.13006,                 1.7594,                 3.2772,                 1.7744,               0.009802,               0.009802,               0.009802
                     12,                   1.78,                 1.7639,                 1.6428,                0.89841,                0.23965,                0.27411,                0.13436,                 1.9662,                 2.1671,                 1.8391,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.6463,                 1.7133,                  1.541,                0.92971,                0.27218,                 0.3625,                0.20874,                 1.6636,                 2.2007,                 1.6545,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.6516,                 1.5383,                 1.4779,                0.28869,                0.35253,                0.35381,                 0.1778,                 1.6462,                 1.7523,                 1.6146,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.5798,                 1.4962,                 1.4641,                0.41982,                0.43903,                0.37327,                0.18889,                 2.0197,                 1.8802,                 1.8887,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.5095,                 1.3947,                 1.3921,                0.63679,                0.43168,                0.48877,                0.32438,                 1.4941,                 2.1223,                 1.5239,               0.009703,               0.009703,               0.009703
                     17,                 1.4238,                 1.3518,                 1.3445,                0.34684,                0.38065,                 0.3067,                0.19938,                 1.6097,                 2.3421,                 1.5626,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.4389,                 1.3581,                 1.3411,                0.51654,                0.55961,                0.50752,                0.29723,                 1.4535,                 1.4876,                 1.4375,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.3772,                 1.2605,                 1.3032,                0.38921,                0.56682,                0.47673,                0.27596,                 1.5213,                  1.345,                 1.4783,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.3903,                 1.2009,                 1.3263,                0.53329,                0.66382,                 0.6047,                0.38445,                 1.1942,                 1.2149,                 1.2593,              0.0096238,              0.0096238,              0.0096238
                     21,                  1.382,                  1.153,                 1.2948,                0.56725,                0.57446,                0.53649,                0.33799,                 1.2502,                 1.2392,                 1.2838,               0.009604,               0.009604,               0.009604
                     22,                 1.3158,                 1.2362,                 1.2626,                0.57239,                 0.5737,                0.55987,                0.35601,                 1.1693,                 2.5673,                 1.2612,              0.0095842,              0.0095842,              0.0095842
                     23,                  1.275,                 1.1305,                 1.2287,                0.23783,                0.66188,                0.54277,                0.34269,                 1.2878,                 1.8438,                 1.3171,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.2953,                 1.0774,                 1.2424,                0.59992,                0.64665,                 0.6059,                0.40918,                 1.2574,                 1.1406,                  1.299,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.2825,                 1.0748,                 1.2384,                0.57567,                0.47781,                0.51839,                0.31854,                  1.392,                 1.4675,                 1.4064,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.2064,                 1.0425,                 1.1959,                0.61414,                0.59541,                0.56852,                0.37169,                 1.3257,                 1.3087,                 1.3294,               0.009505,               0.009505,               0.009505
                     27,                 1.2554,                 1.0071,                 1.1892,                0.55366,                0.68737,                0.61616,                0.42326,                 1.1228,                0.99125,                  1.193,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.2111,                0.95616,                 1.1993,                0.72909,                0.48907,                0.52489,                0.35985,                 1.5086,                 2.7681,                 1.4174,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.1754,                0.96984,                 1.1729,                0.57705,                0.68889,                0.66427,                0.46561,                 1.0854,                 1.0209,                 1.1869,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.1987,                0.98299,                 1.1843,                0.57746,                0.76426,                0.65532,                0.44893,                  1.057,                0.90631,                 1.1778,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.1707,                0.95779,                 1.1855,                0.50177,                0.46025,                0.45702,                0.31505,                 1.1379,                 1.1633,                 1.2253,               0.009406,               0.009406,               0.009406
                     32,                 1.1466,                0.94478,                 1.1586,                0.54481,                0.70226,                0.56771,                0.34341,                 1.3766,                 1.1496,                 1.3591,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.1645,                0.90921,                 1.1628,                0.60243,                0.71625,                 0.7035,                0.48757,                 1.0861,                0.99416,                  1.181,              0.0093664,              0.0093664,              0.0093664
                     34,                 1.1057,                0.91727,                 1.1494,                0.57508,                0.66858,                0.66067,                 0.4253,                 1.2326,                 1.0006,                  1.275,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.1319,                0.88694,                 1.1334,                0.61225,                0.82943,                0.70496,                0.47596,                 1.0446,                 0.8418,                 1.1591,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.0985,                0.88076,                 1.1437,                0.59081,                0.72722,                0.67817,                 0.4739,                 1.1929,                0.98349,                  1.258,               0.009307,               0.009307,               0.009307
                     37,                  1.098,                0.82562,                 1.1289,                0.62138,                0.79159,                0.66947,                0.48196,                 1.0446,                0.91897,                 1.1527,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.0712,                0.82632,                 1.1228,                0.57432,                0.85203,                 0.6564,                0.46653,                 1.0622,                0.85503,                 1.1642,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.0724,                0.83554,                 1.1237,                0.69883,                0.80942,                0.74333,                0.52069,                 1.0717,                0.77078,                  1.163,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.0577,                0.79246,                 1.1247,                0.71343,                0.78121,                0.76993,                0.52786,                 1.0603,                0.81049,                  1.145,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.0453,                0.82649,                 1.1205,                0.60855,                0.78148,                0.66944,                0.48446,                 1.0149,                0.90647,                 1.1362,               0.009208,               0.009208,               0.009208
                     42,                 1.0545,                0.81509,                 1.1199,                0.64581,                0.76389,                0.61863,                0.42444,                 1.0917,                0.96973,                 1.1826,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.0785,                0.79252,                 1.1072,                0.67148,                0.70116,                0.65975,                0.46972,                 1.0227,                 1.0173,                 1.1381,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.0773,                0.79612,                 1.1037,                0.61782,                0.71383,                0.65159,                0.46904,                 1.0841,                0.97673,                 1.1566,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.0496,                0.78296,                 1.1159,                0.75018,                0.83727,                 0.8315,                0.57882,                 1.0703,                0.77536,                 1.1562,              0.0091288,              0.0091288,              0.0091288
                     46,                  1.038,                0.78524,                 1.0882,                0.76025,                0.72533,                0.74037,                0.50471,                 1.1158,                0.82609,                 1.1856,               0.009109,               0.009109,               0.009109
                     47,                 1.0205,                0.75186,                 1.0932,                0.73842,                0.79098,                0.79783,                0.57424,                0.98615,                0.83656,                 1.1152,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.0663,                0.80269,                 1.1043,                0.59705,                0.75999,                0.69318,                0.48318,                 1.0818,                0.87328,                 1.1557,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.0229,                 0.8225,                 1.1332,                0.71184,                0.79141,                0.68406,                0.48753,                 1.0194,                0.85033,                 1.1356,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.0273,                0.77161,                 1.0994,                0.72006,                0.76784,                0.72782,                0.53728,                0.97533,                 0.7599,                 1.1053,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.0128,                0.72164,                 1.0986,                0.66949,                0.82515,                0.71893,                0.51622,                 1.0183,                0.78783,                 1.1282,                0.00901,                0.00901,                0.00901
                     52,                 1.0044,                0.77748,                 1.0958,                0.73554,                0.83896,                0.82822,                0.62396,                0.92333,                0.67194,                 1.0815,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.0082,                0.73694,                 1.0941,                0.71015,                 0.8233,                0.82462,                0.57887,                 1.0497,                0.70649,                 1.1545,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.0202,                0.74695,                 1.1054,                0.80403,                0.77856,                0.81009,                0.56228,                 1.0383,                0.72017,                 1.1317,              0.0089506,              0.0089506,              0.0089506
                     55,                0.99671,                0.68822,                 1.0877,                 0.7788,                0.74592,                 0.7557,                0.51107,                 1.0272,                0.75023,                  1.143,              0.0089308,              0.0089308,              0.0089308
                     56,                0.97898,                0.69809,                 1.0817,                0.67871,                0.80981,                0.72388,                 0.5139,                0.99004,                0.81247,                 1.1286,               0.008911,               0.008911,               0.008911
                     57,                 1.0129,                0.73053,                 1.0735,                0.60091,                0.73562,                 0.6795,                0.46565,                 1.0522,                0.84567,                 1.1642,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.0061,                0.71983,                 1.0972,                0.75265,                 0.7681,                0.77067,                0.56894,                0.95996,                 0.7732,                 1.1121,              0.0088714,              0.0088714,              0.0088714
                     59,                0.95018,                0.69831,                 1.0566,                0.80943,                0.77892,                0.82006,                0.59787,                 0.9983,                0.69649,                 1.1359,              0.0088516,              0.0088516,              0.0088516
                     60,                0.96233,                0.67389,                 1.0803,                0.78894,                0.71374,                0.77402,                0.56071,                 1.0062,                0.80343,                 1.1222,              0.0088318,              0.0088318,              0.0088318
                     61,                0.98143,                0.68389,                 1.0806,                0.79847,                0.74008,                0.82143,                0.60094,                0.98117,                0.67202,                 1.1006,               0.008812,               0.008812,               0.008812
